,session,model_args,model_stats
0,1,"{'train_type': 'c', 'input_file': 'data/iris.csv', 'project_folder': 'output/iris_project', 'target_col': 'Name', 'scaler': 'StandardScaler', 'test': 'True', 'auto_tune': 'False', 'save_test_chart': 'True', 'save_test_csv': 'False', 'save_metadata': 'True', 'mapping': ""{'Name': {'Iris-setosa':0, 'Iris-versicolor':1, 'Iris-virginica':2}}"", 'save_auto_tune': 'True', 'auto_tune_iter': '1000', 'input_col': None, 'num_of_class': '3', 'ignore_col': None, 'random_state': 'None', 'model_type': 'RF', 'num_of_features': 10, 'num_of_folds': 5, 'hyperparameter_file': None, 'feature_selection': None, 'feature_selection_file': None, 'save_corr_report': 'False', 'save_corr_chart': 'False', 'only_pcc': 'False', 'net_fast_tune': 'False', 'net_layer_n': 'Tune', 'net_structure': 'Tune', 'net_dropout': 'Tune', 'net_l_2': 'Tune', 'net_learning_rate': 'Tune', 'net_epochs': 'Tune', 'net_batch_size': 'Tune', 'net_neuron_max': -1, 'net_batch_size_max': 5, 'net_layer_min': 3, 'net_layer_max': 5, 'net_dropout_max': 0.2, 'net_default_neuron_max': 32, 'net_checkpoint': 'True'}","{'MAE': None, 'R2': None, 'Accuracy': 0.9466666666666667}"
1,2,"{'train_type': 'c', 'input_file': 'data/iris.csv', 'project_folder': 'output/iris_project', 'target_col': 'Name', 'scaler': 'StandardScaler', 'test': 'True', 'auto_tune': 'False', 'save_test_chart': 'True', 'save_test_csv': 'False', 'save_metadata': 'True', 'mapping': ""{'Name': {'Iris-setosa':0, 'Iris-versicolor':1, 'Iris-virginica':2}}"", 'save_auto_tune': 'True', 'auto_tune_iter': '1000', 'input_col': None, 'num_of_class': '3', 'ignore_col': None, 'random_state': 'None', 'model_type': 'RF', 'num_of_features': 10, 'num_of_folds': 5, 'hyperparameter_file': None, 'feature_selection': None, 'feature_selection_file': None, 'save_corr_report': 'False', 'save_corr_chart': 'False', 'only_pcc': 'False', 'net_fast_tune': 'False', 'net_layer_n': 'Tune', 'net_structure': 'Tune', 'net_dropout': 'Tune', 'net_l_2': 'Tune', 'net_learning_rate': 'Tune', 'net_epochs': 'Tune', 'net_batch_size': 'Tune', 'net_neuron_max': -1, 'net_batch_size_max': 5, 'net_layer_min': 3, 'net_layer_max': 5, 'net_dropout_max': 0.2, 'net_default_neuron_max': 32, 'net_checkpoint': 'True'}","{'MAE': None, 'R2': None, 'Accuracy': 0.94}"
2,3,"{'train_type': 'c', 'input_file': 'data/iris.csv', 'project_folder': 'output/iris_project', 'target_col': 'Name', 'scaler': 'StandardScaler', 'test': 'True', 'auto_tune': 'False', 'save_test_chart': 'True', 'save_test_csv': 'False', 'save_metadata': 'True', 'mapping': ""{'Name': {'Iris-setosa':0, 'Iris-versicolor':1, 'Iris-virginica':2}}"", 'save_auto_tune': 'True', 'auto_tune_iter': '1000', 'input_col': None, 'num_of_class': '3', 'ignore_col': None, 'random_state': 'None', 'model_type': 'RF', 'num_of_features': 10, 'num_of_folds': 5, 'hyperparameter_file': None, 'feature_selection': None, 'feature_selection_file': None, 'save_corr_report': 'False', 'save_corr_chart': 'False', 'only_pcc': 'False', 'net_fast_tune': 'False', 'net_layer_n': 'Tune', 'net_structure': 'Tune', 'net_dropout': 'Tune', 'net_l_2': 'Tune', 'net_learning_rate': 'Tune', 'net_epochs': 'Tune', 'net_batch_size': 'Tune', 'net_neuron_max': -1, 'net_batch_size_max': 5, 'net_layer_min': 3, 'net_layer_max': 5, 'net_dropout_max': 0.2, 'net_default_neuron_max': 32, 'net_checkpoint': 'True'}","{'MAE': None, 'R2': None, 'Accuracy': 0.9333333333333333}"
3,4,"{'train_type': 'c', 'input_file': 'data/iris.csv', 'project_folder': 'output/iris_project', 'target_col': 'Name', 'scaler': 'StandardScaler', 'test': 'True', 'auto_tune': 'False', 'save_test_chart': 'True', 'save_test_csv': 'False', 'save_metadata': 'True', 'mapping': ""{'Name': {'Iris-setosa':0, 'Iris-versicolor':1, 'Iris-virginica':2}}"", 'save_auto_tune': 'True', 'auto_tune_iter': '1000', 'input_col': None, 'num_of_class': '3', 'ignore_col': None, 'random_state': 'None', 'model_type': 'RF', 'num_of_features': 10, 'num_of_folds': 5, 'hyperparameter_file': None, 'feature_selection': None, 'feature_selection_file': None, 'save_corr_report': 'False', 'save_corr_chart': 'False', 'only_pcc': 'False', 'net_fast_tune': 'False', 'net_layer_n': 'Tune', 'net_structure': 'Tune', 'net_dropout': 'Tune', 'net_l_2': 'Tune', 'net_learning_rate': 'Tune', 'net_epochs': 'Tune', 'net_batch_size': 'Tune', 'net_neuron_max': -1, 'net_batch_size_max': 5, 'net_layer_min': 3, 'net_layer_max': 5, 'net_dropout_max': 0.2, 'net_default_neuron_max': 32, 'net_checkpoint': 'True'}","{'MAE': None, 'R2': None, 'Accuracy': 0.96}"
4,5,"{'train_type': 'c', 'input_file': 'data/iris.csv', 'project_folder': 'output/iris_project', 'target_col': 'Name', 'scaler': 'StandardScaler', 'test': 'True', 'auto_tune': 'False', 'save_test_chart': 'True', 'save_test_csv': 'False', 'save_metadata': 'True', 'mapping': ""{'Name': {'Iris-setosa':0, 'Iris-versicolor':1, 'Iris-virginica':2}}"", 'save_auto_tune': 'True', 'auto_tune_iter': '1000', 'input_col': None, 'num_of_class': '3', 'ignore_col': None, 'random_state': 'None', 'model_type': 'RF', 'num_of_features': 10, 'num_of_folds': 5, 'hyperparameter_file': None, 'feature_selection': None, 'feature_selection_file': None, 'save_corr_report': 'False', 'save_corr_chart': 'False', 'only_pcc': 'False', 'net_fast_tune': 'False', 'net_layer_n': 'Tune', 'net_structure': 'Tune', 'net_dropout': 'Tune', 'net_l_2': 'Tune', 'net_learning_rate': 'Tune', 'net_epochs': 'Tune', 'net_batch_size': 'Tune', 'net_neuron_max': -1, 'net_batch_size_max': 5, 'net_layer_min': 3, 'net_layer_max': 5, 'net_dropout_max': 0.2, 'net_default_neuron_max': 32, 'net_checkpoint': 'True'}","{'MAE': None, 'R2': None, 'Accuracy': 0.9533333333333334}"
5,6,"{'train_type': 'c', 'input_file': 'data/iris.csv', 'project_folder': 'output/iris_project', 'target_col': 'Name', 'scaler': 'StandardScaler', 'test': 'True', 'auto_tune': 'False', 'save_test_chart': 'True', 'save_test_csv': 'False', 'save_metadata': 'True', 'mapping': ""{'Name': {'Iris-setosa':0, 'Iris-versicolor':1, 'Iris-virginica':2}}"", 'save_auto_tune': 'True', 'auto_tune_iter': '1000', 'input_col': None, 'num_of_class': '3', 'ignore_col': None, 'random_state': 'None', 'model_type': 'RF', 'num_of_features': 10, 'num_of_folds': 5, 'hyperparameter_file': None, 'feature_selection': None, 'feature_selection_file': None, 'save_corr_report': 'False', 'save_corr_chart': 'False', 'only_pcc': 'False', 'net_fast_tune': 'False', 'net_layer_n': 'Tune', 'net_structure': 'Tune', 'net_dropout': 'Tune', 'net_l_2': 'Tune', 'net_learning_rate': 'Tune', 'net_epochs': 'Tune', 'net_batch_size': 'Tune', 'net_neuron_max': -1, 'net_batch_size_max': 5, 'net_layer_min': 3, 'net_layer_max': 5, 'net_dropout_max': 0.2, 'net_default_neuron_max': 32, 'net_checkpoint': 'True'}","{'MAE': None, 'R2': None, 'Accuracy': 0.94}"
6,7,"{'train_type': 'c', 'input_file': 'data/iris.csv', 'project_folder': 'output/iris_project', 'target_col': 'Name', 'scaler': 'StandardScaler', 'test': 'True', 'auto_tune': 'False', 'save_test_chart': 'True', 'save_test_csv': 'False', 'save_metadata': 'True', 'mapping': ""{'Name': {'Iris-setosa':0, 'Iris-versicolor':1, 'Iris-virginica':2}}"", 'save_auto_tune': 'True', 'auto_tune_iter': '1000', 'input_col': None, 'num_of_class': '3', 'ignore_col': None, 'random_state': 'None', 'model_type': 'RF', 'num_of_features': 10, 'num_of_folds': 5, 'hyperparameter_file': None, 'feature_selection': None, 'feature_selection_file': None, 'save_corr_report': 'False', 'save_corr_chart': 'False', 'only_pcc': 'False', 'net_fast_tune': 'False', 'net_layer_n': 'Tune', 'net_structure': 'Tune', 'net_dropout': 'Tune', 'net_l_2': 'Tune', 'net_learning_rate': 'Tune', 'net_epochs': 'Tune', 'net_batch_size': 'Tune', 'net_neuron_max': -1, 'net_batch_size_max': 5, 'net_layer_min': 3, 'net_layer_max': 5, 'net_dropout_max': 0.2, 'net_default_neuron_max': 32, 'net_checkpoint': 'True'}","{'MAE': None, 'R2': None, 'Accuracy': 0.9533333333333334}"
7,8,"{'train_type': 'c', 'input_file': 'data/iris.csv', 'project_folder': 'output/iris_project', 'target_col': 'Name', 'scaler': 'StandardScaler', 'test': 'True', 'auto_tune': 'False', 'save_test_chart': 'True', 'save_test_csv': 'False', 'save_metadata': 'True', 'mapping': ""{'Name': {'Iris-setosa':0, 'Iris-versicolor':1, 'Iris-virginica':2}}"", 'save_auto_tune': 'True', 'auto_tune_iter': '1000', 'input_col': None, 'num_of_class': '3', 'ignore_col': None, 'random_state': 'None', 'model_type': 'RF', 'num_of_features': 10, 'num_of_folds': 5, 'hyperparameter_file': None, 'feature_selection': None, 'feature_selection_file': None, 'save_corr_report': 'False', 'save_corr_chart': 'False', 'only_pcc': 'False', 'net_fast_tune': 'False', 'net_layer_n': 'Tune', 'net_structure': 'Tune', 'net_dropout': 'Tune', 'net_l_2': 'Tune', 'net_learning_rate': 'Tune', 'net_epochs': 'Tune', 'net_batch_size': 'Tune', 'net_neuron_max': -1, 'net_batch_size_max': 5, 'net_layer_min': 3, 'net_layer_max': 5, 'net_dropout_max': 0.2, 'net_default_neuron_max': 32, 'net_checkpoint': 'True'}","{'MAE': None, 'R2': None, 'Accuracy': 0.9533333333333334}"
8,9,"{'train_type': 'c', 'input_file': 'data/iris.csv', 'project_folder': 'output/iris_project', 'target_col': 'Name', 'scaler': 'StandardScaler', 'test': 'True', 'auto_tune': 'False', 'save_test_chart': 'True', 'save_test_csv': 'False', 'save_metadata': 'True', 'mapping': ""{'Name': {'Iris-setosa':0, 'Iris-versicolor':1, 'Iris-virginica':2}}"", 'save_auto_tune': 'True', 'auto_tune_iter': '1000', 'input_col': None, 'num_of_class': '3', 'ignore_col': None, 'random_state': 'None', 'model_type': 'RF', 'num_of_features': 10, 'num_of_folds': 5, 'hyperparameter_file': None, 'feature_selection': None, 'feature_selection_file': None, 'save_corr_report': 'False', 'save_corr_chart': 'False', 'only_pcc': 'False', 'net_fast_tune': 'False', 'net_layer_n': 'Tune', 'net_structure': 'Tune', 'net_dropout': 'Tune', 'net_l_2': 'Tune', 'net_learning_rate': 'Tune', 'net_epochs': 'Tune', 'net_batch_size': 'Tune', 'net_neuron_max': -1, 'net_batch_size_max': 5, 'net_layer_min': 3, 'net_layer_max': 5, 'net_dropout_max': 0.2, 'net_default_neuron_max': 32, 'net_checkpoint': 'True'}","{'MAE': None, 'R2': None, 'Accuracy': 0.9533333333333334}"
9,10,"{'train_type': 'c', 'input_file': 'data/iris.csv', 'project_folder': 'output/iris_project', 'target_col': 'Name', 'scaler': 'StandardScaler', 'test': 'True', 'auto_tune': 'False', 'save_test_chart': 'True', 'save_test_csv': 'False', 'save_metadata': 'True', 'mapping': ""{'Name': {'Iris-setosa':0, 'Iris-versicolor':1, 'Iris-virginica':2}}"", 'save_auto_tune': 'True', 'auto_tune_iter': '1000', 'input_col': None, 'num_of_class': '3', 'ignore_col': None, 'random_state': 'None', 'model_type': 'RF', 'num_of_features': 10, 'num_of_folds': 5, 'hyperparameter_file': None, 'feature_selection': None, 'feature_selection_file': None, 'save_corr_report': 'False', 'save_corr_chart': 'False', 'only_pcc': 'False', 'net_fast_tune': 'False', 'net_layer_n': 'Tune', 'net_structure': 'Tune', 'net_dropout': 'Tune', 'net_l_2': 'Tune', 'net_learning_rate': 'Tune', 'net_epochs': 'Tune', 'net_batch_size': 'Tune', 'net_neuron_max': -1, 'net_batch_size_max': 5, 'net_layer_min': 3, 'net_layer_max': 5, 'net_dropout_max': 0.2, 'net_default_neuron_max': 32, 'net_checkpoint': 'True'}","{'MAE': None, 'R2': None, 'Accuracy': 0.96}"
